time,time_us,eA,eB,eC
11,1100000,1,0,-1
12,1200000,1,0,-1
13,1300000,1,0,-1
14,1400000,1,0,-1
15,1500000,1,0,0
16,1600000,0,0,-1
17,1700000,0,0,-1
18,1800000,0,0,0
19,1900000,0,0,0
20,2000000,0,0,0
21,2100000,0,0,-1
22,2200000,0,0,-1
23,2300000,1,0,-1
24,2400000,0,0,-1
25,2500000,0,0,0
26,2600000,0,0,0
27,2700000,0,0,0
28,2800000,0,0,0
29,2900000,1,0,0
30,3000000,0,0,0
31,3100000,0,0,-1
32,3200000,0,0,0
33,3300000,0,0,0
34,3400000,0,0,0
35,3500000,0,0,-1
36,3600000,0,0,-1
37,3700000,0,0,0
38,3800000,0,0,-1
39,3900000,0,0,-1
40,4000000,0,0,0
41,4100000,0,0,0
42,4200000,0,0,0
43,4300000,0,0,0
44,4400000,0,0,0
45,4500000,0,0,0
46,4600000,0,0,0
47,4700000,0,0,0
48,4800000,0,0,0
49,4900000,0,0,0
50,5000000,0,0,0
51,5100000,0,0,-1
52,5200000,1,0,-1
53,5300000,1,0,-1
54,5400000,1,0,0
55,5500000,0,0,0
56,5600000,0,0,0
57,5700000,0,0,0
58,5800000,0,0,0
59,5900000,1,0,0
60,6000000,1,0,0
61,6100000,0,0,0
62,6200000,0,0,0
63,6300000,0,0,0
64,6400000,0,0,0
65,6500000,0,0,0
66,6600000,0,0,0
67,6700000,0,0,0
68,6800000,0,0,0
69,6900000,0,0,0
70,7000000,0,0,0
71,7100000,0,0,0
72,7200000,0,0,0
73,7300000,0,0,0
74,7400000,1,0,0
75,7500000,0,0,0
76,7600000,1,-1,0
77,7700000,1,0,0
78,7800000,1,0,-1
79,7900000,0,0,0
80,8000000,0,0,-1
81,8100000,0,0,0
82,8200000,1,0,0
83,8300000,1,0,0
84,8400000,1,-1,0
85,8500000,0,0,-1
86,8600000,1,0,0
87,8700000,1,0,-1
88,8800000,1,0,-1
89,8900000,1,0,-1
90,9000000,1,0,-1
91,9100000,1,0,-1
92,9200000,1,-1,0
93,9300000,0,0,0
94,9400000,1,0,-1
95,9500000,1,-1,0
96,9600000,0,0,0
97,9700000,1,-1,0
98,9800000,1,0,-1
99,9900000,1,0,-1
100,10000000,0,0,0
101,10100000,0,0,0
102,10200000,1,0,-1
103,10300000,1,0,0
104,10400000,1,0,-1
105,10500000,1,0,-1
106,10600000,1,0,0
107,10700000,1,0,0
108,10800000,1,0,-1
109,10900000,1,0,-1
110,11000000,1,0,-1
111,11100000,1,0,-1
112,11200000,0,0,0
113,11300000,1,0,-1
114,11400000,1,0,0
115,11500000,1,0,0
116,11600000,1,-1,0
117,11700000,1,0,-1
118,11800000,1,0,0
119,11900000,1,-1,0
120,12000000,1,-1,0
121,12100000,1,-1,-1
122,12200000,1,0,-1
123,12300000,1,0,-1
124,12400000,1,0,-1
125,12500000,1,-1,0
126,12600000,1,-1,-1
127,12700000,1,-1,0
128,12800000,1,-1,0
129,12900000,1,-1,0
130,13000000,1,-1,0
131,13100000,1,-1,-1
132,13200000,1,-1,-1
133,13300000,1,0,-1
134,13400000,1,-1,-1
135,13500000,1,-1,0
136,13600000,1,-1,-1
137,13700000,1,0,-1
138,13800000,1,0,-1
139,13900000,1,-1,-1
140,14000000,1,-1,-1
141,14100000,0,0,-1
142,14200000,1,0,-1
143,14300000,0,0,-1
144,14400000,0,-1,0
145,14500000,1,-1,0
146,14600000,0,-1,0
147,14700000,0,-1,-1
148,14800000,1,0,-1
149,14900000,0,0,0
150,15000000,0,0,-1
151,15100000,0,0,-1
152,15200000,1,0,-1
153,15300000,1,0,-1
154,15400000,1,-1,0
155,15500000,0,-1,0
156,15600000,0,-1,0
157,15700000,0,0,-1
158,15800000,0,0,-1
159,15900000,1,-1,0
160,16000000,1,-1,0
161,16100000,1,-1,0
162,16200000,1,-1,0
163,16300000,1,-1,0
164,16400000,1,-1,0
165,16500000,1,-1,0
166,16600000,1,-1,0
167,16700000,1,-1,0
168,16800000,1,-1,-1
169,16900000,1,-1,-1
170,17000000,2,0,-1
171,17100000,0,-3,-1
172,17200000,17,22,0
173,17300000,5,3,-1
174,17400000,20,27,1
175,17500000,28,37,1
176,17600000,26,35,2
177,17700000,39,54,2
178,17800000,31,42,2
179,17900000,33,45,1
180,18000000,35,48,2
181,18100000,33,45,1
182,18200000,31,42,1
183,18300000,36,49,2
184,18400000,33,44,1
185,18500000,34,47,2
186,18600000,53,74,3
187,18700000,44,61,2
188,18800000,44,63,2
189,18900000,49,68,2
190,19000000,50,69,3
191,19100000,51,72,3
192,19200000,48,69,3
193,19300000,53,76,3
194,19400000,55,79,3
195,19500000,46,65,2
196,19600000,25,34,1
197,19700000,11,13,-1
198,19800000,0,-3,-1
199,19900000,7,7,-1
200,20000000,15,18,0
201,20100000,16,20,0
202,20200000,15,19,0
203,20300000,11,13,-1
204,20400000,29,40,2
205,20500000,34,47,2
206,20600000,47,66,3
207,20700000,40,55,2
208,20800000,58,82,4
209,20900000,100,143,7
210,21000000,92,131,6
211,21100000,91,129,6
212,21200000,114,164,7
213,21300000,110,158,7
214,21400000,108,155,7
215,21500000,108,154,7
216,21600000,108,154,7
217,21700000,110,157,7
218,21800000,110,156,7
219,21900000,110,157,7
220,22000000,110,156,7
221,22100000,109,157,8
222,22200000,109,156,8
223,22300000,109,157,8
224,22400000,110,157,7
225,22500000,110,156,7
226,22600000,110,157,7
227,22700000,110,157,7
228,22800000,110,157,7
229,22900000,110,157,7
230,23000000,110,157,7
231,23100000,110,157,7
232,23200000,110,157,7
233,23300000,110,157,7
234,23400000,110,157,7
235,23500000,110,157,7
236,23600000,110,157,7
237,23700000,110,157,7
238,23800000,110,157,7
239,23900000,110,156,7
240,24000000,110,156,7
241,24100000,110,156,7
242,24200000,110,157,7
243,24300000,110,157,7
244,24400000,109,157,7
245,24500000,109,156,8
246,24600000,110,156,7
247,24700000,111,156,7
248,24800000,110,157,7
249,24900000,110,156,7
250,25000000,110,157,7
251,25100000,110,157,7
252,25200000,109,157,7
253,25300000,109,157,7
254,25400000,110,157,7
255,25500000,109,156,8
256,25600000,110,156,7
257,25700000,110,156,7
258,25800000,110,157,7
259,25900000,110,157,7
260,26000000,110,157,6
261,26100000,109,157,7
262,26200000,110,157,7
263,26300000,110,157,7
264,26400000,110,157,7
265,26500000,109,157,7
266,26600000,109,157,7
267,26700000,110,157,7
268,26800000,110,157,7
269,26900000,110,157,7
270,27000000,109,157,7
271,27100000,109,157,7
272,27200000,110,157,7
273,27300000,110,157,7
274,27400000,109,157,7
275,27500000,110,157,7
276,27600000,109,157,7
277,27700000,109,157,7
278,27800000,109,157,7
279,27900000,110,157,7
280,28000000,110,157,7
281,28100000,110,157,7
282,28200000,110,157,7
283,28300000,110,157,7
284,28400000,110,157,7
285,28500000,110,156,7
286,28600000,110,157,7
287,28700000,110,157,7
288,28800000,110,157,7
289,28900000,110,157,7
290,29000000,110,157,7
291,29100000,110,157,7
292,29200000,110,157,7
293,29300000,110,157,7
294,29400000,110,157,7
295,29500000,110,157,7
296,29600000,110,157,7
297,29700000,110,156,7
298,29800000,110,157,7
299,29900000,110,156,7
300,30000000,111,158,7
301,30100000,111,157,6
302,30200000,110,156,7
303,30300000,110,157,7
304,30400000,110,157,7
305,30500000,110,157,7
306,30600000,110,157,7
307,30700000,111,157,7
308,30800000,110,157,7
309,30900000,110,157,7
310,31000000,111,157,7
311,31100000,110,157,7
312,31200000,110,156,7
313,31300000,110,156,7
314,31400000,111,156,7
315,31500000,110,156,7
316,31600000,110,156,7
317,31700000,110,157,7
318,31800000,110,157,7
319,31900000,110,156,7
320,32000000,110,157,7
321,32100000,111,156,7
322,32200000,110,156,7
323,32300000,110,156,7
324,32400000,110,157,7
325,32500000,110,156,7
326,32600000,110,156,7
327,32700000,111,157,7
328,32800000,110,157,7
329,32900000,109,157,7
330,33000000,110,157,7
331,33100000,110,157,7
332,33200000,110,157,7
333,33300000,110,157,7
334,33400000,109,157,7
335,33500000,109,156,7
336,33600000,109,157,7
337,33700000,110,157,7
338,33800000,110,157,7
339,33900000,110,157,7
340,34000000,109,156,7
341,34100000,103,147,7
342,34200000,38,52,2
343,34300000,-1,-6,-1
344,34400000,4,1,-1
345,34500000,1,-2,-1
346,34600000,2,0,-1
347,34700000,1,-1,-1
348,34800000,2,0,-1
349,34900000,2,-1,-1
350,35000000,2,0,-1
351,35100000,1,-1,-1
352,35200000,1,-1,-1
353,35300000,2,0,-1
354,35400000,2,0,-1
355,35500000,2,0,-1
356,35600000,2,0,-1
357,35700000,2,0,-1
358,35800000,2,0,-1
359,35900000,2,0,-1
360,36000000,2,0,-1
361,36100000,2,0,-1
362,36200000,2,-1,-1
363,36300000,2,-1,-1
364,36400000,2,-1,-1
365,36500000,2,-1,-1
366,36600000,1,0,-1
367,36700000,1,0,-1
368,36800000,1,-1,-1
369,36900000,1,0,-1
370,37000000,2,-1,-1
371,37100000,1,-1,-1
372,37200000,1,-1,-1
373,37300000,2,-1,-1
374,37400000,2,0,-1
375,37500000,1,-1,-1
376,37600000,2,-1,-1
377,37700000,2,-1,-1
378,37800000,2,-1,-1
379,37900000,2,-1,-1
380,38000000,2,0,-1
381,38100000,2,0,-1
382,38200000,1,-1,-1
383,38300000,1,-1,-1
384,38400000,1,0,-1
385,38500000,2,0,-1
386,38600000,1,0,-1
387,38700000,1,0,-1
388,38800000,2,-1,-1
389,38900000,2,-1,-1
390,39000000,1,0,-1
391,39100000,1,-1,-1
392,39200000,1,-1,-1
393,39300000,1,-1,-1
394,39400000,2,-1,-1
395,39500000,2,0,-1
396,39600000,1,0,-1
397,39700000,1,0,-1
398,39800000,1,0,-1
399,39900000,1,-1,0
400,40000000,1,-1,-1
401,40100000,1,0,-1
402,40200000,1,0,-1
403,40300000,1,0,-1
404,40400000,1,0,-1
405,40500000,0,0,-1
406,40600000,1,0,-1
407,40700000,1,-1,-1
408,40800000,1,0,-1
409,40900000,1,0,-1
410,41000000,1,-1,-1
411,41100000,1,-1,-1
412,41200000,1,-1,0
413,41300000,1,-1,0
414,41400000,2,-1,-1
415,41500000,1,-1,0
416,41600000,1,-1,-1
417,41700000,2,0,-1
418,41800000,1,0,-1
419,41900000,1,0,-1
420,42000000,1,-1,-1
421,42100000,1,-1,-1
422,42200000,1,0,0
423,42300000,1,0,-1
424,42400000,2,0,-1
425,42500000,1,0,-1
426,42600000,1,0,-1
427,42700000,1,0,-1
428,42800000,1,0,-1
429,42900000,1,0,-1
430,43000000,1,-1,0
431,43100000,2,0,-1
432,43200000,2,-1,-1
433,43300000,1,-1,-1
434,43400000,1,0,-1
435,43500000,1,0,-1
436,43600000,1,0,0
437,43700000,1,-1,0
438,43800000,1,0,-1
439,43900000,1,0,-1
440,44000000,1,0,-1
441,44100000,1,-1,-1
442,44200000,2,-1,-1
443,44300000,2,-1,-1
444,44400000,2,-1,-1
445,44500000,1,-1,0
446,44600000,1,-1,-1
447,44700000,2,-1,-1
448,44800000,2,-1,-1
449,44900000,1,-1,-1
450,45000000,1,-1,-1
451,45100000,2,-1,-1
452,45200000,2,-1,-1
453,45300000,2,-1,-1
454,45400000,2,0,-1
455,45500000,2,-1,-1
456,45600000,1,0,-1
457,45700000,2,0,-1
458,45800000,2,-1,-1
459,45900000,1,0,-1
460,46000000,2,0,-1
461,46100000,2,0,-1
462,46200000,1,-1,-1
463,46300000,2,-1,-1
464,46400000,2,-1,-1
465,46500000,3,0,-1
466,46600000,2,0,-1
467,46700000,2,0,-1
468,46800000,2,0,-1
469,46900000,2,0,-1
470,47000000,2,0,-1
471,47100000,2,0,-1
472,47200000,2,0,-1
473,47300000,1,0,-1
474,47400000,2,0,-1
475,47500000,2,0,-1
476,47600000,2,0,-1
477,47700000,2,0,-1
478,47800000,2,0,-1
479,47900000,2,-1,-1
480,48000000,2,-1,-1
481,48100000,2,-1,-1
482,48200000,2,-1,-1
483,48300000,2,0,-1
484,48400000,2,-1,-1
485,48500000,3,-1,-1
486,48600000,2,0,-1
487,48700000,2,-1,-1
488,48800000,2,-1,-1
489,48900000,2,0,-1
490,49000000,2,-1,-1
491,49100000,2,0,-1
492,49200000,2,0,-1
493,49300000,2,-1,-1
494,49400000,2,-1,-1
495,49500000,2,-1,-1
496,49600000,2,-1,-1
497,49700000,2,-1,-1
498,49800000,2,-1,-1
499,49900000,2,0,-1
500,50000000,2,0,-1
501,50100000,2,0,-1
502,50200000,2,-1,-1
503,50300000,2,-1,-1
504,50400000,2,-1,-1
505,50500000,1,-1,-1
506,50600000,2,-1,-1
507,50700000,2,-1,-1
508,50800000,1,-1,0
509,50900000,2,-1,-1
510,51000000,3,-1,-1
511,51100000,2,-1,-1
512,51200000,2,-1,-1
513,51300000,2,-1,-1
514,51400000,2,-1,-1
515,51500000,2,0,-1
516,51600000,2,-1,-1
517,51700000,2,0,-1
518,51800000,2,-1,-1
519,51900000,3,0,-1
520,52000000,1,-2,-2
521,52100000,10,12,-1
522,52200000,8,8,-1
523,52300000,4,3,-2
524,52400000,19,24,0
525,52500000,32,42,1
526,52600000,43,59,2
527,52700000,57,79,3
528,52800000,68,95,5
529,52900000,81,115,5
530,53000000,96,136,7
531,53100000,112,160,8
532,53200000,115,164,8
533,53300000,112,160,8
534,53400000,116,165,8
535,53500000,118,169,8
536,53600000,117,165,8
537,53700000,120,170,8
538,53800000,117,165,7
539,53900000,111,158,7
540,54000000,110,156,7
541,54100000,110,156,7
542,54200000,111,157,7
543,54300000,111,157,7
544,54400000,111,157,7
545,54500000,110,157,7
546,54600000,110,156,7
547,54700000,111,156,7
548,54800000,111,157,6
549,54900000,110,157,7
550,55000000,110,156,7
551,55100000,111,156,7
552,55200000,110,156,7
553,55300000,110,157,7
554,55400000,110,156,7
555,55500000,110,157,7
556,55600000,111,157,7
557,55700000,111,157,7
558,55800000,111,156,7
559,55900000,110,157,7
560,56000000,111,157,7
561,56100000,111,156,7
562,56200000,111,156,7
563,56300000,111,156,7
564,56400000,110,156,7
565,56500000,110,156,7
566,56600000,110,156,7
567,56700000,110,156,7
568,56800000,110,157,7
569,56900000,110,157,7
570,57000000,110,157,7
571,57100000,110,157,7
572,57200000,110,156,7
573,57300000,110,157,7
574,57400000,110,157,7
575,57500000,110,157,7
576,57600000,110,157,7
577,57700000,110,157,7
578,57800000,110,156,7
579,57900000,110,156,7
580,58000000,111,156,7
581,58100000,110,157,7
582,58200000,110,157,7
583,58300000,110,156,7
584,58400000,110,156,7
585,58500000,110,156,7
586,58600000,110,156,7
587,58700000,110,156,7
588,58800000,110,156,7
589,58900000,111,156,7
590,59000000,110,156,7
591,59100000,110,156,7
592,59200000,111,156,7
593,59300000,110,157,6
594,59400000,110,157,6
595,59500000,110,156,6
596,59600000,110,156,7
597,59700000,111,156,7
598,59800000,110,156,7
599,59900000,110,156,7
600,60000000,110,156,7
601,60100000,110,156,7
602,60200000,110,156,7
603,60300000,111,157,6
604,60400000,111,157,6
605,60500000,110,157,7
606,60600000,111,156,6
607,60700000,111,156,7
608,60800000,111,156,7
609,60900000,111,156,7
610,61000000,111,156,7
611,61100000,111,156,7
612,61200000,111,156,7
613,61300000,111,156,7
614,61400000,111,157,7
615,61500000,109,154,7
616,61600000,109,154,7
617,61700000,107,150,7
618,61800000,104,146,7
619,61900000,107,151,7
620,62000000,112,159,7
621,62100000,111,156,7
622,62200000,109,155,8
623,62300000,109,155,7
624,62400000,112,158,7
625,62500000,113,159,7
626,62600000,113,159,7
627,62700000,111,156,7
628,62800000,110,157,7
629,62900000,109,156,7
630,63000000,110,156,7
631,63100000,110,156,7
632,63200000,110,156,7
633,63300000,110,156,7
634,63400000,110,156,7
635,63500000,110,156,7
636,63600000,110,156,7
637,63700000,110,156,7
638,63800000,110,156,7
639,63900000,110,157,7
640,64000000,110,156,7
641,64100000,110,156,7
642,64200000,110,157,7
643,64300000,110,156,7
644,64400000,110,156,7
645,64500000,110,156,7
646,64600000,110,156,7
647,64700000,110,157,7
648,64800000,110,156,7
649,64900000,111,156,7
650,65000000,110,156,7
651,65100000,110,156,7
652,65200000,110,156,7
653,65300000,110,156,7
654,65400000,110,156,7
655,65500000,110,156,7
656,65600000,110,156,7
657,65700000,111,156,7
658,65800000,111,156,7
659,65900000,111,156,6
660,66000000,110,157,7
661,66100000,111,156,6
662,66200000,111,156,7
663,66300000,111,156,7
664,66400000,111,156,7
665,66500000,111,156,7
666,66600000,111,156,7
667,66700000,111,156,7
668,66800000,111,156,7
669,66900000,110,157,7
670,67000000,111,156,7
671,67100000,111,156,7
672,67200000,110,156,7
673,67300000,110,156,7
674,67400000,110,156,7
675,67500000,111,156,7
676,67600000,111,156,7
677,67700000,111,156,6
678,67800000,111,156,6
679,67900000,111,156,7
680,68000000,111,156,7
681,68100000,111,156,7
682,68200000,111,156,6
683,68300000,111,157,6
684,68400000,111,156,7
685,68500000,111,156,7
686,68600000,111,156,7
687,68700000,111,156,6
688,68800000,111,156,7
689,68900000,110,156,7
690,69000000,110,156,7
691,69100000,111,156,7
692,69200000,110,156,7
693,69300000,111,156,7
694,69400000,111,156,7
695,69500000,110,156,7
696,69600000,110,156,7
697,69700000,110,157,7
698,69800000,110,156,7
699,69900000,111,156,7
700,70000000,111,156,7
701,70100000,111,157,6
702,70200000,111,157,6
703,70300000,110,156,7
704,70400000,111,156,7
705,70500000,110,156,7
706,70600000,110,156,7
707,70700000,110,156,7
708,70800000,110,156,7
709,70900000,110,156,6
710,71000000,110,157,7
711,71100000,110,156,7
712,71200000,111,156,7
713,71300000,111,156,7
714,71400000,110,156,7
715,71500000,111,156,7
716,71600000,111,156,7
717,71700000,111,156,7
718,71800000,111,156,7
719,71900000,111,157,6
720,72000000,111,156,7
721,72100000,111,156,6
722,72200000,110,157,6
723,72300000,110,157,6
724,72400000,110,156,7
725,72500000,110,156,7
726,72600000,110,156,7
727,72700000,110,156,7
728,72800000,111,156,6
729,72900000,111,156,6
730,73000000,110,156,6
731,73100000,110,156,7
732,73200000,110,156,7
733,73300000,110,156,7
734,73400000,110,156,7
735,73500000,111,156,6
736,73600000,110,156,6
737,73700000,110,156,6
738,73800000,111,156,6
739,73900000,110,156,6
740,74000000,110,156,7
741,74100000,110,157,6
742,74200000,110,157,7
743,74300000,110,156,6
744,74400000,110,157,6
745,74500000,110,157,7
746,74600000,110,156,7
747,74700000,110,157,6
748,74800000,110,157,6
749,74900000,110,157,7
750,75000000,110,156,7
751,75100000,110,157,7
752,75200000,110,157,6
753,75300000,110,156,6
754,75400000,110,157,7
755,75500000,110,157,6
756,75600000,110,157,6
757,75700000,110,157,6
758,75800000,110,157,6
759,75900000,110,157,6
760,76000000,110,157,6
761,76100000,110,157,6
762,76200000,110,156,7
763,76300000,110,157,6
764,76400000,110,157,7
765,76500000,110,156,6
766,76600000,110,157,7
767,76700000,110,156,6
768,76800000,110,157,6
769,76900000,110,156,6
770,77000000,110,156,7
771,77100000,109,157,7
772,77200000,110,156,6
773,77300000,109,156,7
774,77400000,109,156,7
775,77500000,109,157,7
776,77600000,110,157,7
777,77700000,110,157,6
778,77800000,110,157,7
779,77900000,110,156,7
780,78000000,110,156,7
781,78100000,110,156,6
782,78200000,110,157,6
783,78300000,110,157,6
784,78400000,110,156,6
785,78500000,110,156,7
786,78600000,110,157,6
787,78700000,110,157,6
788,78800000,110,156,6
789,78900000,110,157,6
790,79000000,110,156,6
791,79100000,110,157,6
792,79200000,110,157,6
793,79300000,110,157,6
794,79400000,110,157,6
795,79500000,110,157,6
796,79600000,110,157,6
797,79700000,111,156,6
798,79800000,110,156,6
799,79900000,110,157,6
800,80000000,110,157,6
801,80100000,109,157,6
802,80200000,110,157,6
803,80300000,109,157,6
804,80400000,109,157,6
805,80500000,109,157,7
806,80600000,109,156,7
807,80700000,109,156,7
808,80800000,110,156,6
809,80900000,110,157,6
810,81000000,110,157,6
811,81100000,109,156,6
812,81200000,109,156,7
813,81300000,110,157,6
814,81400000,109,157,6
815,81500000,109,156,7
816,81600000,109,157,7
817,81700000,109,157,6
818,81800000,110,156,7
819,81900000,110,156,7
820,82000000,110,156,6
821,82100000,110,157,6
822,82200000,110,157,6
823,82300000,110,156,6
824,82400000,110,156,7
825,82500000,110,156,6
826,82600000,109,156,7
827,82700000,110,156,6
828,82800000,110,156,6
829,82900000,110,156,7
830,83000000,110,156,7
831,83100000,110,156,6
832,83200000,110,157,6
833,83300000,110,157,6
834,83400000,110,157,6
835,83500000,110,157,6
836,83600000,109,156,6
837,83700000,109,156,7
838,83800000,110,156,6
839,83900000,110,156,6
840,84000000,110,156,6
841,84100000,110,156,7
842,84200000,109,156,7
843,84300000,110,156,7
844,84400000,110,156,7
845,84500000,110,156,7
846,84600000,109,156,7
847,84700000,109,156,6
848,84800000,109,156,6
849,84900000,110,156,6
850,85000000,110,156,6
851,85100000,109,156,7
852,85200000,109,156,7
853,85300000,109,156,7
854,85400000,109,156,6
855,85500000,110,156,6
856,85600000,110,156,6
857,85700000,110,156,6
858,85800000,110,156,7
859,85900000,109,156,6
860,86000000,109,156,6
861,86100000,109,157,6
862,86200000,110,157,6
863,86300000,109,156,6
864,86400000,110,156,7
865,86500000,110,156,6
866,86600000,109,157,6
867,86700000,110,157,6
868,86800000,109,156,6
869,86900000,109,156,7
870,87000000,109,156,7
871,87100000,110,156,6
872,87200000,109,156,6
873,87300000,110,156,6
874,87400000,110,156,6
875,87500000,110,156,6
876,87600000,110,157,6
877,87700000,110,157,6
878,87800000,111,157,6
879,87900000,110,156,6
880,88000000,110,156,6
881,88100000,110,156,6
882,88200000,110,157,6
883,88300000,110,157,6
884,88400000,110,157,6
885,88500000,110,156,6
886,88600000,110,157,6
887,88700000,110,156,6
888,88800000,110,156,6
889,88900000,110,156,7
890,89000000,110,156,7
891,89100000,110,156,6
892,89200000,110,156,6
893,89300000,110,156,6
894,89400000,110,157,6
895,89500000,110,157,6
896,89600000,110,157,6
897,89700000,110,156,6
898,89800000,110,156,6
899,89900000,110,157,6
900,90000000,110,157,6
901,90100000,110,156,6
902,90200000,110,156,6
903,90300000,110,157,6
904,90400000,110,157,6
905,90500000,110,156,6
906,90600000,111,156,6
907,90700000,110,157,6
908,90800000,110,157,6
909,90900000,110,156,6
910,91000000,110,156,6
911,91100000,110,157,6
912,91200000,110,156,6
913,91300000,110,156,6
914,91400000,110,157,6
915,91500000,110,157,6
916,91600000,110,157,6
917,91700000,110,157,6
918,91800000,110,157,6
919,91900000,110,157,6
920,92000000,110,157,6
921,92100000,110,157,6
922,92200000,110,156,6
923,92300000,110,157,6
924,92400000,110,157,6
925,92500000,110,156,6
926,92600000,110,157,6
927,92700000,110,157,6
928,92800000,110,157,6
929,92900000,110,157,6
930,93000000,110,157,6
931,93100000,110,156,6
932,93200000,110,157,6
933,93300000,110,157,6
934,93400000,110,156,6
935,93500000,110,156,6
936,93600000,110,156,6
937,93700000,111,157,6
938,93800000,110,157,6
939,93900000,110,157,6
940,94000000,110,156,6
941,94100000,110,156,6
942,94200000,110,156,6
943,94300000,110,156,6
944,94400000,111,156,6
945,94500000,111,156,6
946,94600000,110,157,6
947,94700000,110,157,6
948,94800000,110,157,6
949,94900000,110,157,6
950,95000000,110,156,6
951,95100000,110,157,6
952,95200000,110,157,6
953,95300000,110,156,6
954,95400000,111,156,6
955,95500000,110,156,6
956,95600000,110,156,6
957,95700000,111,156,6
958,95800000,110,156,6
959,95900000,111,156,6
960,96000000,110,156,6
961,96100000,110,156,6
962,96200000,111,156,6
963,96300000,110,156,6
964,96400000,110,156,6
965,96500000,110,156,6
966,96600000,110,156,6
967,96700000,110,156,6
968,96800000,110,156,6
969,96900000,110,156,6
970,97000000,110,156,6
971,97100000,111,156,6
972,97200000,111,156,5
973,97300000,111,156,6
974,97400000,110,157,6
975,97500000,111,157,5
976,97600000,111,157,5
977,97700000,111,156,5
978,97800000,111,157,5
979,97900000,110,156,6
980,98000000,111,156,6
981,98100000,111,156,6
982,98200000,111,156,5
983,98300000,111,157,5
984,98400000,110,157,6
985,98500000,110,157,6
986,98600000,111,157,5
987,98700000,110,156,6
988,98800000,111,157,5
989,98900000,111,157,5
990,99000000,110,157,6
991,99100000,110,157,6
992,99200000,110,156,6
993,99300000,110,156,6
994,99400000,111,156,6
995,99500000,110,156,6
996,99600000,110,156,6
997,99700000,111,156,6
998,99800000,111,156,6
999,99900000,111,156,5
1000,100000000,111,157,5
1001,100100000,111,157,5
1002,100200000,110,157,6
1003,100300000,110,157,6
1004,100400000,110,156,6
1005,100500000,110,156,6
1006,100600000,110,156,6
1007,100700000,110,156,6
1008,100800000,111,157,5
1009,100900000,111,156,5
1010,101000000,111,156,6
1011,101100000,111,156,6
1012,101200000,111,156,5
1013,101300000,111,156,6
1014,101400000,111,156,6
1015,101500000,110,156,6
1016,101600000,111,156,6
1017,101700000,111,156,5
1018,101800000,111,156,6
1019,101900000,111,156,5
1020,102000000,111,156,6
1021,102100000,111,156,6
1022,102200000,111,156,6
1023,102300000,110,156,6
1024,102400000,111,156,5
1025,102500000,111,156,6
1026,102600000,111,156,6
1027,102700000,111,156,6
1028,102800000,111,156,6
1029,102900000,111,156,6
1030,103000000,111,156,6
1031,103100000,110,156,6
1032,103200000,111,156,6
1033,103300000,111,156,6
1034,103400000,111,156,5
1035,103500000,111,156,6
1036,103600000,111,156,5
1037,103700000,111,156,5
1038,103800000,111,156,5
1039,103900000,111,156,6
1040,104000000,111,156,6
1041,104100000,111,156,6
1042,104200000,111,155,6
1043,104300000,110,156,6
1044,104400000,111,156,6
1045,104500000,111,156,6
1046,104600000,111,156,6
1047,104700000,111,156,6
1048,104800000,111,156,6
1049,104900000,111,156,6
1050,105000000,111,156,6
1051,105100000,110,156,6
1052,105200000,111,156,6
1053,105300000,111,156,6
1054,105400000,111,156,6
1055,105500000,111,156,6
1056,105600000,111,155,6
1057,105700000,111,155,6
1058,105800000,111,156,6
1059,105900000,110,156,6
1060,106000000,111,156,6
1061,106100000,111,156,6
1062,106200000,110,156,6
1063,106300000,110,156,6
1064,106400000,111,156,6
1065,106500000,111,156,6
1066,106600000,111,156,6
1067,106700000,110,156,6
1068,106800000,110,156,6
1069,106900000,111,156,6
1070,107000000,111,157,5
1071,107100000,111,156,5
1072,107200000,111,156,6
1073,107300000,111,156,6
1074,107400000,111,156,5
1075,107500000,111,156,5
1076,107600000,111,156,5
1077,107700000,111,156,5
1078,107800000,111,156,5
1079,107900000,111,156,5
1080,108000000,111,156,6
1081,108100000,111,156,6
1082,108200000,111,156,5
1083,108300000,111,156,5
1084,108400000,111,156,6
1085,108500000,111,156,5
1086,108600000,110,156,6
1087,108700000,111,156,5
1088,108800000,110,157,6
1089,108900000,110,156,6
1090,109000000,111,156,6
1091,109100000,111,157,5
1092,109200000,111,156,5
1093,109300000,111,156,6
1094,109400000,111,156,6
1095,109500000,111,156,6
1096,109600000,111,156,6
1097,109700000,111,156,5
1098,109800000,111,156,6
1099,109900000,111,156,5
1100,110000000,111,156,6
1101,110100000,111,156,6
1102,110200000,111,156,6
1103,110300000,111,156,6
1104,110400000,110,156,6
1105,110500000,110,156,6
1106,110600000,111,156,6
1107,110700000,111,156,6
1108,110800000,111,156,6
1109,110900000,111,155,6
1110,111000000,111,156,6
1111,111100000,111,156,6
1112,111200000,111,156,6
1113,111300000,111,156,6
1114,111400000,111,156,6
1115,111500000,111,155,7
1116,111600000,111,156,6
1117,111700000,110,156,6
1118,111800000,110,156,6
1119,111900000,110,156,6
1120,112000000,110,156,6
1121,112100000,110,156,6
