time,time_us,eA,eB,eC
11,1100000,0,0.1,0.2
12,1200000,0,0,0
13,1300000,0,0,0
14,1400000,0,-1,1
15,1500000,0,-1,0
16,1600000,0,0,0
17,1700000,0,0,0
18,1800000,0,-1,0
19,1900000,0,-1,0
20,2000000,0,0,0
21,2100000,0,0,0
22,2200000,0,0,0
23,2300000,0,0,0
24,2400000,0,0,0
25,2500000,0,0,0
26,2600000,0,0,0
27,2700000,0,0,0
28,2800000,0,0,0
29,2900000,0,0,0
30,3000000,1,0,0
31,3100000,0,0,0
32,3200000,1,-1,0
33,3300000,0,0,0
34,3400000,0,0,0
35,3500000,0,0,0
36,3600000,0,0,0
37,3700000,0,0,0
38,3800000,0,-1,0
39,3900000,0,0,0
40,4000000,0,0,0
41,4100000,0,0,0
42,4200000,0,0,0
43,4300000,0,-1,0
44,4400000,0,-1,0
45,4500000,0,-1,0
46,4600000,0,0,0
47,4700000,0,0,0
48,4800000,0,-1,0
49,4900000,0,-1,0
50,5000000,0,0,0
51,5100000,0,0,0
52,5200000,0,-1,0
53,5300000,0,-1,1
54,5400000,0,-1,0
55,5500000,0,0,0
56,5600000,0,-1,0
57,5700000,0,-1,1
58,5800000,0,-1,1
59,5900000,0,-1,0
60,6000000,0,-1,0
61,6100000,0,0,0
62,6200000,0,-1,0
63,6300000,0,0,0
64,6400000,0,0,0
65,6500000,0,-1,0
66,6600000,0,-1,0
67,6700000,0,-1,0
68,6800000,0,-1,0
69,6900000,0,-1,0
70,7000000,0,0,0
71,7100000,0,-1,0
72,7200000,0,-1,0
73,7300000,0,-1,0
74,7400000,0,-1,0
75,7500000,0,-1,1
76,7600000,0,-1,1
77,7700000,0,-1,1
78,7800000,0,-1,0
79,7900000,0,0,0
80,8000000,0,0,0
81,8100000,0,0,0
82,8200000,0,-1,0
83,8300000,0,-1,1
84,8400000,0,0,0
85,8500000,0,-1,0
86,8600000,0,-1,1
87,8700000,0,-1,1
88,8800000,0,-1,1
89,8900000,0,0,0
90,9000000,0,-1,1
91,9100000,0,-1,0
92,9200000,0,-1,0
93,9300000,0,-1,1
94,9400000,0,-1,0
95,9500000,0,0,0
96,9600000,0,-1,0
97,9700000,0,-1,1
98,9800000,0,0,0
99,9900000,1,-1,0
100,10000000,0,-1,0
101,10100000,0,-1,0
102,10200000,0,-1,0
103,10300000,0,-1,0
104,10400000,0,-1,0
105,10500000,0,-1,0
106,10600000,0,-1,0
107,10700000,0,-1,0
108,10800000,0,0,0
109,10900000,1,0,0
110,11000000,0,0,0
