time,time_us,eA,eB,eC
11,1100000,0,0.1,0.2
12,1200000,0,0,0
13,1300000,1,0,0
14,1400000,1,0,0
15,1500000,0,0,0
16,1600000,0,0,0
17,1700000,0,0,0
18,1800000,0,0,0
19,1900000,0,0,0
20,2000000,0,0,0
21,2100000,0,-1,0
22,2200000,0,0,0
23,2300000,0,0,0
24,2400000,0,0,0
25,2500000,0,0,0
26,2600000,0,0,0
27,2700000,0,0,0
28,2800000,0,0,0
29,2900000,0,0,0
30,3000000,0,0,0
31,3100000,0,0,0
32,3200000,0,0,0
33,3300000,0,0,0
34,3400000,0,0,0
35,3500000,0,0,0
36,3600000,0,0,-1
37,3700000,0,0,-1
38,3800000,0,0,0
39,3900000,0,0,-1
40,4000000,0,0,0
41,4100000,0,0,0
42,4200000,0,-1,0
43,4300000,0,0,0
44,4400000,0,0,0
45,4500000,0,0,0
46,4600000,0,0,0
47,4700000,0,0,0
48,4800000,0,0,0
49,4900000,0,0,0
50,5000000,0,0,0
51,5100000,0,0,0
52,5200000,0,0,0
53,5300000,0,0,0
54,5400000,0,0,0
55,5500000,0,0,0
56,5600000,0,0,0
57,5700000,0,0,-1
58,5800000,0,0,-1
59,5900000,0,0,0
60,6000000,0,0,-1
61,6100000,0,0,-1
62,6200000,0,0,0
63,6300000,0,0,0
64,6400000,1,0,-1
65,6500000,0,0,0
66,6600000,0,0,0
67,6700000,0,0,0
68,6800000,1,0,0
69,6900000,0,0,0
70,7000000,1,0,0
71,7100000,1,0,0
72,7200000,1,0,0
73,7300000,1,0,-1
74,7400000,1,0,0
75,7500000,1,0,0
76,7600000,0,0,0
77,7700000,0,0,0
78,7800000,0,0,-1
79,7900000,1,2,-1
80,8000000,3,5,-1
81,8100000,24,35,1
82,8200000,42,62,3
83,8300000,48,71,3
84,8400000,57,85,4
85,8500000,77,113,6
86,8600000,101,147,8
87,8700000,124,181,9
88,8800000,147,214,11
89,8900000,166,241,13
90,9000000,184,268,15
91,9100000,207,301,17
92,9200000,226,331,18
93,9300000,239,349,19
94,9400000,247,360,19
95,9500000,262,381,20
96,9600000,273,399,22
97,9700000,273,399,22
98,9800000,281,411,22
99,9900000,295,429,23
100,10000000,295,430,23
101,10100000,297,433,23
102,10200000,308,449,24
103,10300000,308,449,25
104,10400000,308,450,25
105,10500000,316,459,25
106,10600000,316,458,24
107,10700000,314,455,24
108,10800000,323,469,25
109,10900000,328,476,25
110,11000000,334,485,26
111,11100000,330,479,26
112,11200000,334,485,26
113,11300000,332,482,26
114,11400000,327,476,25
