File,Delta_in,Avg_eA,Avg_eB,Avg_eC,eps_x,eps_y,gamma_xy
Session #6.csv,0.1,99.40796019900498,145.0547263681592,8.194029850746269,99.40796019900498,8.194029850746269,182.50746268656718
Session #6.csv,0.2,207.24875621890547,300.8557213930348,16.81094527363184,207.24875621890547,16.81094527363184,377.65174129353227
Session #6.csv,0.3,314.1980198019802,455.8910891089109,25.04950495049505,314.1980198019802,25.04950495049505,572.5346534653465
Session #6.csv,0.4,418.7860696517413,610.0746268656717,34.21890547263681,418.7860696517413,34.21890547263681,767.1442786069653
Session #6.csv,0.5,524.2935323383084,765.905472636816,43.36318407960199,524.2935323383084,43.36318407960199,964.1542288557215
Session #6.csv,0.6,630.7920792079208,921.6237623762376,52.07920792079208,630.7920792079208,52.07920792079208,1160.3762376237623
