File,Load_g,Time_Start,Time_End,Avg_eA,Avg_eB,Avg_eC,eps_x,eps_y,gamma_xy
Session #2.csv,200,750,1500,110.42609853528629,156.10918774966711,5.829560585885486,110.42609853528629,5.829560585885486,195.96271637816244
Session #3.csv,400,300,500,235.66169154228857,313.33830845771143,16.920398009950247,235.66169154228857,16.920398009950247,374.09452736318406
Session #4.csv,600,500,900,325.3815461346633,471.75311720698255,24.34912718204489,325.3815461346633,24.34912718204489,593.775561097257
Session #4.csv,800,1400,1700,433.4252491694352,627.5980066445183,33.78073089700997,433.4252491694352,33.78073089700997,787.9900332225914
Session #4.csv,1000,2500,3000,543.0938123752495,785.2614770459082,41.22954091816367,543.0938123752495,41.22954091816367,986.1996007984033
