File,Load_g,Time_Start,Time_End,Avg_eA,Avg_eB,Avg_eC
Session #2.csv,200,750,1500,110.42609853528629,156.10918774966711,5.829560585885486
Session #3.csv,400,300,500,235.66169154228857,313.33830845771143,16.920398009950247
Session #4.csv,600,500,900,325.3815461346633,471.75311720698255,24.34912718204489
Session #4.csv,800,1400,1700,433.42524916943523,627.5980066445183,33.78073089700997
Session #4.csv,1000,2500,3000,543.0938123752495,785.2614770459082,41.22954091816367
